student_code,name,age,gender,class_level,semester,study_hours,sleep_hours,screen_time,study_days,attendance,previous_marks,exam_score,passed
STU-00080,Navya Sharma,16,Female,9th,Semester 4,0.8,5.7,6.7,2,78.5,52.8,45.1,0
STU-00081,Aadhya Chouhan,18,Female,12th,Semester 1,1.5,7.1,3.8,3,64.3,43.3,51.6,1
STU-00082,Vihaan Rao,17,Male,12th,Semester 2,0.8,5.3,5.5,3,84.3,58.7,46.5,0
STU-00083,Sai Singh,18,Male,12th,Semester 2,5.0,6.9,2.8,7,65.1,61.7,61.1,1
STU-00084,Anushka Banerjee,14,Female,9th,Semester 4,4.0,8.3,0.5,7,81.6,70.7,75.5,1
STU-00085,Aanya Reddy,15,Female,9th,Semester 4,0.6,7.9,0.8,3,96.5,69.8,58.8,1
STU-00086,Ayaan Malhotra,17,Other,11th,Semester 4,2.6,7.9,1.8,4,85.3,55.1,62.6,1
STU-00087,Pranav Kulkarni,16,Male,10th,Semester 3,3.7,7.3,0.8,6,48.5,59.0,60.8,1
STU-00088,Arjun Chouhan,21,Male,Undergraduate,Semester 4,1.9,7.5,2.1,4,94.3,65.5,60.5,1
STU-00089,Tanvi Das,14,Female,9th,Semester 1,8.6,6.6,2.1,7,95.3,87.4,89.2,1
STU-00090,Diya Kumar,18,Female,Undergraduate,Semester 1,1.1,7.4,0.8,3,80.1,70.0,64.3,1
STU-00091,Krishna Rao,14,Male,10th,Semester 2,3.4,5.8,3.8,5,82.8,77.4,67.8,1
STU-00092,Anushka Kulkarni,22,Female,Undergraduate,Semester 1,2.6,6.5,2.0,4,81.6,60.8,68.6,1
STU-00093,Avani Bose,14,Female,10th,Semester 1,9.9,8.1,3.1,7,80.2,92.9,94.2,1
STU-00094,Isha Choudhury,18,Female,Undergraduate,Semester 4,1.8,7.3,2.9,3,40.0,45.5,30.0,0
STU-00095,Aaryan Iyer,15,Male,9th,Semester 4,7.2,6.3,2.4,7,78.9,78.8,84.6,1
STU-00096,Kavya Kapoor,21,Female,Undergraduate,Semester 3,4.2,7.0,1.1,6,66.6,64.6,46.4,0
STU-00097,Meera Reddy,14,Female,9th,Semester 4,2.5,7.5,4.3,5,74.3,59.3,55.7,1
STU-00098,Dhruv Joshi,16,Male,11th,Semester 4,2.6,7.4,1.2,5,80.5,66.8,59.0,1
STU-00099,Aaryan Gupta,16,Male,12th,Semester 2,3.5,7.6,5.3,6,64.4,41.5,38.1,0
STU-00100,Pari Rao,22,Female,Undergraduate,Semester 3,5.8,6.8,0.5,7,71.4,87.2,68.2,1
STU-00101,Aanya Das,21,Female,Undergraduate,Semester 4,2.7,7.3,2.8,5,55.1,41.3,38.5,0
STU-00102,Anushka Kapoor,20,Female,Undergraduate,Semester 1,2.0,7.9,2.7,4,92.4,60.5,52.4,1
STU-00103,Aarav Bhat,18,Male,11th,Semester 2,2.8,7.0,0.9,5,81.8,65.1,62.7,1
STU-00104,Aarav Singh,17,Male,12th,Semester 1,5.4,6.5,1.0,7,73.9,74.2,68.4,1
STU-00105,Anand Malhotra,18,Male,12th,Semester 1,6.4,6.7,6.8,7,74.8,66.8,62.6,1
STU-00106,Tara Nair,15,Female,10th,Semester 2,3.9,7.6,3.1,7,73.9,74.7,67.1,1
STU-00107,Isha Mehta,17,Female,11th,Semester 4,3.2,8.2,0.7,5,71.9,60.7,59.3,1
STU-00108,Siddharth Mehta,17,Male,11th,Semester 3,2.9,6.4,6.5,5,94.2,50.8,55.9,1
STU-00109,Aaradhya Banerjee,15,Female,10th,Semester 3,2.0,7.0,3.7,4,59.0,38.7,45.5,0
STU-00110,Diya Bose,16,Female,9th,Semester 2,1.6,8.4,1.9,3,78.3,55.3,42.0,0
STU-00111,Pari Kapoor,19,Female,Undergraduate,Semester 1,4.1,9.6,0.7,6,98.1,90.9,73.0,1
STU-00112,Priyanka Mehta,19,Female,Undergraduate,Semester 4,0.5,6.9,1.4,3,67.1,58.8,39.0,0
STU-00113,Vivaan Banerjee,14,Male,9th,Semester 1,1.7,7.1,3.1,3,85.0,50.7,50.8,1
STU-00114,Kavya Kapoor,14,Female,9th,Semester 4,4.3,7.7,1.7,6,70.7,61.4,55.8,1
STU-00115,Pari Reddy,16,Female,11th,Semester 3,10.0,7.1,1.2,7,74.3,93.8,83.4,1
STU-00116,Pooja Kapoor,19,Female,Undergraduate,Semester 2,3.3,8.9,6.0,6,86.3,67.7,58.6,1
STU-00117,Shaurya Bose,17,Male,11th,Semester 2,5.9,7.3,5.6,7,96.9,73.7,72.4,1
STU-00118,Saanvi Banerjee,16,Female,12th,Semester 1,2.6,7.1,0.5,4,97.1,72.1,67.4,1
STU-00119,Tanvi Banerjee,18,Female,Undergraduate,Semester 3,2.7,7.8,6.3,5,86.0,59.8,48.4,0
STU-00120,Tara Verma,17,Female,11th,Semester 3,2.7,6.0,2.0,5,95.0,69.7,57.0,1
STU-00121,Anand Mehta,14,Male,9th,Semester 3,2.6,7.5,1.8,4,74.4,71.0,66.0,1
STU-00122,Khushi Patel,14,Female,9th,Semester 3,2.5,8.0,2.0,5,94.3,81.1,76.9,1
STU-00123,Aaryan Verma,15,Male,10th,Semester 3,3.4,7.3,1.3,6,90.6,56.1,58.9,1
STU-00124,Kabir Chouhan,17,Male,11th,Semester 1,1.5,8.2,4.5,3,83.1,53.5,52.9,1
STU-00125,Ananya Deshmukh,14,Female,9th,Semester 4,6.1,6.3,5.7,7,95.2,75.5,65.4,1
STU-00126,Meera Patel,16,Female,10th,Semester 4,0.9,6.1,6.6,2,95.4,50.8,39.2,0
STU-00127,Aditya Kulkarni,20,Male,Undergraduate,Semester 1,0.8,6.0,1.6,3,88.4,53.6,54.6,1
STU-00128,Tanvi Gupta,15,Female,9th,Semester 2,2.1,6.7,1.8,5,86.2,62.5,55.7,1
STU-00129,Advaith Iyer,14,Male,10th,Semester 3,0.7,8.7,4.2,3,88.9,58.1,47.4,0
STU-00130,Kabir Malhotra,16,Male,12th,Semester 4,3.7,7.1,3.9,6,49.9,47.4,48.2,0
STU-00131,Kabir Mehta,18,Male,Undergraduate,Semester 1,1.5,7.7,1.1,3,77.9,55.1,54.7,1
STU-00132,Sara Malhotra,20,Female,Undergraduate,Semester 4,3.1,5.4,4.4,5,64.4,59.6,47.4,0
STU-00133,Atharv Kumar,17,Male,12th,Semester 1,1.6,8.0,4.6,3,58.1,47.7,35.3,0
STU-00134,Ishaan Deshmukh,15,Male,9th,Semester 4,4.0,6.5,0.6,6,45.7,59.0,47.5,0
STU-00135,Krishna Iyer,14,Male,9th,Semester 4,2.8,5.5,0.5,5,76.5,49.6,43.9,0
STU-00136,Aarav Chouhan,14,Male,10th,Semester 2,5.7,6.9,2.2,7,75.2,77.5,70.9,1
STU-00137,Tanvi Mehta,20,Female,Undergraduate,Semester 1,7.3,5.1,1.8,7,89.3,85.0,80.5,1
STU-00138,Dhruv Kulkarni,15,Male,10th,Semester 4,2.7,7.1,3.5,4,90.9,65.4,63.3,1
STU-00139,Advik Chouhan,17,Male,11th,Semester 4,3.4,6.6,3.8,5,77.6,61.6,56.0,1
STU-00140,Vihaan Joshi,17,Male,12th,Semester 2,1.7,6.6,3.3,3,93.3,67.5,62.1,1
STU-00141,Angel Malhotra,17,Female,11th,Semester 1,4.5,7.7,4.5,7,76.1,56.9,57.0,1
STU-00142,Aditya Deshmukh,16,Male,10th,Semester 2,4.3,6.6,9.8,7,91.3,61.0,50.7,1
STU-00143,Rohan Deshmukh,16,Male,10th,Semester 1,1.6,7.2,0.6,3,85.2,64.4,60.9,1
STU-00144,Kavya Reddy,20,Female,Undergraduate,Semester 4,4.6,7.9,5.5,7,88.0,67.4,60.9,1
STU-00145,Avani Iyer,17,Female,11th,Semester 4,1.9,7.3,3.4,3,92.2,74.5,59.6,1
STU-00146,Rohan Nair,18,Male,12th,Semester 1,2.6,6.1,1.0,4,95.9,70.6,70.2,1
STU-00147,Navya Kapoor,16,Female,11th,Semester 2,5.7,7.4,3.6,7,54.5,64.7,64.4,1
STU-00148,Siddharth Patel,18,Male,11th,Semester 3,4.1,7.7,5.3,7,40.0,33.5,43.0,0
STU-00149,Sai Das,16,Male,9th,Semester 2,4.0,9.5,5.5,6,89.6,73.1,77.0,1
STU-00150,Ananya Verma,14,Female,9th,Semester 4,1.8,6.5,3.9,3,76.7,61.9,54.9,1
STU-00151,Aditya Choudhury,18,Male,12th,Semester 3,2.7,9.5,2.5,4,99.1,54.8,65.3,1
STU-00152,Sai Rao,21,Male,Undergraduate,Semester 1,3.7,6.5,3.2,5,75.1,61.9,46.5,0
STU-00153,Sai Chouhan,22,Male,Undergraduate,Semester 2,2.0,7.8,4.6,4,98.1,66.6,68.7,1
STU-00154,Tanvi Deshmukh,21,Female,Undergraduate,Semester 2,4.2,8.6,6.0,6,88.4,65.3,69.3,1
STU-00155,Anushka Malhotra,14,Female,9th,Semester 3,3.3,6.7,5.0,5,96.3,75.4,66.7,1
STU-00156,Pranav Nair,14,Other,10th,Semester 3,1.8,6.5,2.7,4,71.7,51.0,42.6,0
STU-00157,Aditya Reddy,18,Male,11th,Semester 4,2.3,8.7,0.7,5,91.7,52.4,44.3,0
STU-00158,Tara Reddy,15,Female,9th,Semester 4,6.0,6.4,3.0,7,83.8,73.3,65.6,1
STU-00159,Dev Chouhan,18,Male,Undergraduate,Semester 2,5.6,7.1,4.4,7,88.0,78.6,78.3,1
STU-00160,Reyansh Das,18,Male,Undergraduate,Semester 3,2.5,8.1,2.0,5,85.5,56.6,52.3,1
STU-00161,Arnav Singh,18,Male,11th,Semester 2,3.2,6.5,3.8,6,77.6,59.6,66.3,1
STU-00162,Tara Kumar,16,Female,10th,Semester 2,3.0,7.9,6.9,5,71.1,59.0,45.4,0
STU-00163,Pari Nair,18,Female,12th,Semester 4,2.2,7.6,3.6,5,69.6,61.5,52.2,1
STU-00164,Aarav Malhotra,16,Male,12th,Semester 1,3.4,7.0,7.1,6,40.0,46.1,34.7,0
STU-00165,Angel Verma,15,Female,10th,Semester 1,2.5,6.4,6.1,5,67.4,40.2,42.9,0
STU-00166,Tanvi Chouhan,18,Female,11th,Semester 4,5.0,6.5,2.4,7,91.1,72.3,58.6,1
STU-00167,Aadhya Reddy,16,Female,11th,Semester 1,6.9,7.4,3.1,7,83.8,65.4,74.3,1
STU-00168,Reyansh Banerjee,16,Male,11th,Semester 4,3.1,6.1,1.4,6,77.0,66.9,60.7,1
STU-00169,Kabir Choudhury,18,Male,12th,Semester 4,4.6,9.4,4.1,7,69.7,70.1,57.3,1
STU-00170,Meera Kulkarni,15,Female,10th,Semester 3,1.7,6.8,5.1,3,76.3,40.8,38.9,0
STU-00171,Aadhya Rao,18,Female,12th,Semester 3,2.0,8.7,3.5,4,93.0,64.6,53.8,1
STU-00172,Muhammad Verma,22,Male,Undergraduate,Semester 2,4.7,6.6,2.6,7,77.2,61.7,69.1,1
STU-00173,Navya Gupta,15,Female,9th,Semester 3,10.6,4.9,6.5,7,88.0,90.7,78.6,1
STU-00174,Shaurya Bhat,16,Male,12th,Semester 4,3.4,6.7,3.0,6,88.3,66.0,64.9,1
STU-00175,Aadhya Chouhan,14,Female,9th,Semester 4,6.3,8.1,1.8,7,43.9,53.0,47.2,0
STU-00176,Ananya Bhat,21,Female,Undergraduate,Semester 3,4.3,7.4,1.6,7,53.0,57.6,55.2,1
STU-00177,Atharv Singh,16,Other,12th,Semester 4,4.8,5.7,2.8,7,92.0,83.4,63.5,1
STU-00178,Anika Gupta,18,Female,11th,Semester 3,2.9,5.6,1.2,5,88.2,62.0,56.6,1
STU-00179,Aarav Nair,15,Other,9th,Semester 3,1.8,8.1,6.1,4,90.7,55.7,42.7,0
STU-00180,Vihaan Kapoor,17,Male,11th,Semester 1,3.9,8.0,1.8,7,83.5,56.6,69.0,1
STU-00181,Atharv Rao,21,Male,Undergraduate,Semester 3,2.7,6.5,11.0,4,64.0,47.1,39.2,0
STU-00182,Dhruv Verma,16,Male,10th,Semester 3,2.2,8.6,2.8,4,66.8,53.4,51.0,1
STU-00183,Ayaan Bhat,16,Male,9th,Semester 2,1.6,7.1,8.2,3,75.0,44.6,38.7,0
STU-00184,Aarav Kumar,16,Male,11th,Semester 2,5.2,7.3,4.7,7,55.5,46.7,63.8,1
STU-00185,Ayaan Banerjee,16,Male,10th,Semester 3,4.3,7.6,3.5,6,71.1,58.6,52.8,1
STU-00186,Ayaan Nair,17,Male,12th,Semester 1,2.9,8.5,3.6,4,86.4,58.1,49.3,0
STU-00187,Diya Chouhan,15,Female,10th,Semester 3,1.3,8.7,3.2,4,95.8,47.4,43.7,0
STU-00188,Sara Banerjee,14,Female,10th,Semester 3,5.3,8.3,3.0,7,87.0,68.1,70.6,1
STU-00189,Sai Gupta,18,Male,Undergraduate,Semester 4,2.1,8.1,3.2,4,61.3,49.2,45.4,0
STU-00190,Navya Bose,17,Female,12th,Semester 1,2.3,7.0,0.5,5,71.0,67.1,52.2,1
STU-00191,Arjun Iyer,18,Male,12th,Semester 4,5.3,7.3,1.0,7,72.7,52.0,48.9,0
STU-00192,Reyansh Bhat,18,Male,11th,Semester 3,6.4,6.7,2.8,7,80.8,67.3,73.2,1
STU-00193,Ayaan Bhat,17,Male,12th,Semester 2,1.6,7.1,3.4,3,88.2,49.6,59.7,1
STU-00194,Avani Malhotra,15,Female,9th,Semester 2,3.1,6.4,3.3,5,82.9,63.4,67.4,1
STU-00195,Saanvi Mishra,18,Female,11th,Semester 2,6.9,8.7,3.5,7,62.6,63.6,56.4,1
STU-00196,Myra Verma,15,Female,9th,Semester 3,4.7,5.3,2.5,7,67.3,81.1,62.2,1
STU-00197,Tara Kapoor,16,Female,10th,Semester 1,2.1,7.4,7.3,4,85.5,46.1,41.0,0
STU-00198,Aadhya Reddy,17,Female,12th,Semester 3,4.0,7.5,3.3,6,55.0,49.8,47.0,0
STU-00199,Anand Reddy,16,Male,9th,Semester 2,5.3,8.1,1.5,7,82.8,69.7,66.4,1
STU-00200,Aaradhya Nair,21,Female,Undergraduate,Semester 3,2.7,7.3,4.0,4,70.7,62.1,62.5,1
STU-00201,Arnav Sharma,16,Male,11th,Semester 2,5.7,5.8,3.5,7,92.1,83.3,82.3,1
STU-00202,Sneha Gupta,14,Female,10th,Semester 3,1.5,6.3,1.4,3,84.9,67.4,57.5,1
STU-00203,Tara Singh,16,Female,9th,Semester 1,7.5,7.3,4.9,7,69.0,76.3,74.9,1
STU-00204,Aarav Chouhan,18,Male,12th,Semester 2,2.0,7.7,1.9,4,89.7,72.5,66.4,1
STU-00205,Pooja Singh,16,Female,12th,Semester 2,2.8,6.6,3.9,4,85.9,66.2,59.8,1
STU-00206,Dhruv Singh,15,Male,9th,Semester 1,1.1,6.9,4.3,3,80.0,50.1,42.6,0
STU-00207,Siddharth Deshmukh,14,Male,10th,Semester 4,3.3,5.1,5.2,6,95.2,70.8,65.3,1
STU-00208,Ishaan Singh,16,Male,9th,Semester 1,1.2,6.1,3.2,2,92.9,68.7,56.2,1
STU-00209,Ananya Nair,16,Female,11th,Semester 2,4.1,7.5,3.7,6,71.1,69.4,65.3,1
STU-00210,Ananya Malhotra,17,Female,11th,Semester 1,6.9,5.2,0.6,7,76.8,69.9,71.0,1
STU-00211,Arjun Sharma,16,Male,11th,Semester 1,5.2,7.6,5.9,7,83.9,69.7,68.4,1
STU-00212,Aanya Singh,18,Female,11th,Semester 1,3.6,7.0,1.0,6,85.7,64.2,60.6,1
STU-00213,Tara Reddy,16,Female,11th,Semester 2,2.3,4.0,3.0,5,87.2,50.0,41.9,0
STU-00214,Kabir Kumar,15,Male,10th,Semester 3,8.0,6.4,6.6,7,73.5,65.3,64.0,1
STU-00215,Arnav Rao,20,Male,Undergraduate,Semester 1,4.6,6.9,2.2,7,80.5,73.6,70.0,1
STU-00216,Siddharth Deshmukh,18,Male,11th,Semester 4,4.6,7.2,5.9,7,63.5,46.4,46.5,0
STU-00217,Khushi Verma,20,Female,Undergraduate,Semester 3,4.5,6.3,2.5,7,62.4,60.2,58.0,1
STU-00218,Shaurya Rao,17,Male,12th,Semester 3,7.8,5.4,2.6,7,90.6,87.6,86.2,1
STU-00219,Ananya Deshmukh,20,Female,Undergraduate,Semester 1,6.4,5.9,3.4,7,75.3,72.6,66.8,1
STU-00220,Avani Malhotra,16,Female,10th,Semester 4,1.1,7.0,1.9,3,81.8,61.0,63.8,1
STU-00221,Angel Sharma,16,Female,10th,Semester 4,2.3,6.4,1.3,5,62.7,54.4,37.2,0
STU-00222,Myra Singh,18,Female,11th,Semester 2,5.7,5.6,4.7,7,70.7,55.4,56.0,1
STU-00223,Isha Iyer,15,Female,9th,Semester 4,1.5,7.1,5.4,4,65.9,68.2,52.8,1
STU-00224,Riya Rao,19,Female,Undergraduate,Semester 3,2.6,5.6,4.3,5,55.3,50.1,42.7,0
STU-00225,Advaith Patel,15,Male,9th,Semester 4,5.5,7.0,0.8,7,91.6,73.1,71.5,1
STU-00226,Pooja Deshmukh,16,Female,10th,Semester 1,1.2,9.3,6.8,2,96.8,65.4,55.4,1
STU-00227,Isha Bose,17,Female,12th,Semester 3,6.0,6.5,5.3,7,76.6,69.3,63.7,1
STU-00228,Kabir Choudhury,15,Male,10th,Semester 3,6.9,8.1,5.8,7,67.4,59.1,61.2,1
STU-00229,Aaryan Kapoor,15,Male,10th,Semester 4,1.6,5.5,1.9,4,82.9,60.5,52.3,1
STU-00230,Rohan Rao,16,Male,9th,Semester 3,1.0,8.7,3.9,2,42.7,48.9,37.9,0
STU-00231,Muhammad Banerjee,16,Male,12th,Semester 2,5.2,7.2,3.8,7,56.0,54.6,57.7,1
STU-00232,Pooja Mehta,18,Female,Undergraduate,Semester 1,5.4,6.8,4.0,7,72.3,65.6,71.2,1
STU-00233,Tanvi Reddy,16,Female,10th,Semester 2,5.2,7.9,3.8,7,70.9,69.8,57.6,1
STU-00234,Siddharth Mehta,14,Male,9th,Semester 4,3.8,5.9,3.5,6,56.7,58.9,48.5,0
STU-00235,Saanvi Singh,18,Female,11th,Semester 2,6.8,9.7,1.0,7,67.2,73.9,70.1,1
STU-00236,Ayaan Chouhan,14,Male,9th,Semester 1,3.5,7.9,6.2,5,78.1,53.0,57.3,1
STU-00237,Anushka Banerjee,18,Female,12th,Semester 4,6.3,7.8,6.2,7,82.2,72.3,60.9,1
STU-00238,Pranav Deshmukh,18,Male,12th,Semester 3,2.7,8.6,2.3,5,77.1,66.9,61.2,1
STU-00239,Tara Nair,14,Female,9th,Semester 3,3.2,7.4,2.2,6,84.6,67.7,65.9,1
